Station ID,AQI,CO,Dew,Humidity,NO2,Pressure,PM10,PM2.5,Temperature,Wind,Data Time
13026,160.0,10.0,22.248210340256296,49.0,23.0,973.9535637149028,106.0,160.0,23.0,3.3,1/23/2021 13:00
1584,66.85816618911174,3.0,22.248210340256296,68.5,1.0,973.9535637149028,45.40338983050848,63.240613553113555,23.5,5.4,1/23/2021 15:00
1585,66.85816618911174,2.0,22.248210340256296,69.0,2.0,973.9535637149028,45.40338983050848,63.240613553113555,26.0,9.2,1/23/2021 15:00
13017,167.0,13.0,22.248210340256296,49.0,20.0,973.9535637149028,123.0,167.0,23.0,3.0,1/23/2021 13:00
13020,151.0,12.0,22.248210340256296,49.0,23.0,973.9535637149028,83.0,151.0,23.0,3.0,1/23/2021 13:00
13013,168.0,11.0,22.248210340256296,49.0,31.0,973.9535637149028,121.0,168.0,23.0,3.3,1/23/2021 13:00
13014,155.0,11.0,22.248210340256296,49.0,13.50085341365462,973.9535637149028,89.0,155.0,23.0,3.0,1/23/2021 13:00
13252,340.0,9.613503480278423,22.248210340256296,68.9,13.50085341365462,985.9,340.0,194.0,18.0,1.0,1/23/2021 15:00
8767,80.0,9.613503480278423,22.248210340256296,74.0,13.50085341365462,973.9535637149028,45.40338983050848,80.0,27.0,4.1,1/25/2021 19:00
8688,161.0,9.613503480278423,22.248210340256296,77.0,13.50085341365462,973.9535637149028,45.40338983050848,63.240613553113555,21.0,3.0,1/25/2021 19:00
8641,139.0,0.2,22.248210340256296,77.0,12.8,973.9535637149028,45.40338983050848,139.0,21.0,3.0,1/25/2021 19:00
13012,70.0,6.0,22.248210340256296,43.4,17.0,923.4,53.0,70.0,29.0,2.0,1/25/2021 19:00
12488,29.0,1.0,22.248210340256296,88.0,13.50085341365462,973.9535637149028,24.0,29.0,22.0,2.8,1/25/2021 15:00
13251,147.0,23.0,22.248210340256296,77.0,23.0,973.9535637149028,95.0,147.0,21.0,3.8,1/25/2021 18:00
12976,176.0,9.0,22.248210340256296,68.0,16.0,973.9535637149028,102.0,176.0,19.0,0.5,1/23/2021 11:00
13250,127.0,36.0,22.248210340256296,61.8,2.0,973.9535637149028,56.0,127.0,24.5,1.0,1/25/2021 19:00
5507,32.0,9.613503480278423,22.248210340256296,95.7,18.0,973.9535637149028,17.0,32.0,19.8,1.0,1/25/2021 19:00
