,Station ID,AQI,CO,Dew,Humidity,NO2,Pressure,PM10,PM2.5,Temperature,Wind,Month
201,12976,66.85816618911174,3.0,27.5,97.0,13.0,973.9535637149028,69.0,63.0,28.0,4.1,5.0
202,11778,6.0,4.0,29.0,84.2,3.0,990.9,6.0,6.0,32.0,2.0,5.0
203,8767,57.0,9.613503480278425,25.0,91.0,13.50085341365462,973.9535637149028,45.40338983050848,57.0,26.5,3.3,5.0
204,8641,78.0,0.1,25.0,88.0,6.9,973.9535637149028,45.40338983050848,78.0,27.0,2.5,5.0
205,13250,27.0,45.0,25.4,81.9,2.0,999.5,26.0,27.0,28.8,2.0,5.0
206,8767,46.0,9.613503480278425,25.0,88.0,13.50085341365462,973.9535637149028,45.40338983050848,46.0,27.0,3.6,5.0
207,11778,3.0,10.0,26.2,98.8,5.0,994.6,3.0,2.0,26.4,1.0,5.0
208,12958,66.0,4.0,26.0,83.0,19.0,973.9535637149028,55.0,66.0,29.0,2.0,5.0
209,8767,63.0,9.613503480278425,25.0,79.0,13.50085341365462,973.9535637149028,45.40338983050848,63.0,29.0,1.5,5.0
210,8688,72.0,9.613503480278425,27.0,88.0,13.50085341365462,973.9535637149028,45.40338983050848,72.0,29.0,2.0,5.0
211,11778,3.0,13.0,26.6,96.5,4.0,996.7,3.0,2.0,27.2,1.0,5.0
212,8767,53.0,9.613503480278425,26.0,64.5,13.50085341365462,973.9535637149028,45.40338983050848,53.0,33.5,2.0,5.0
213,8688,54.0,9.613503480278425,24.0,50.0,13.50085341365462,973.9535637149028,45.40338983050848,54.0,36.0,1.5,5.0
214,11778,10.0,11.0,29.0,77.4,25.0,991.6,10.0,8.0,33.5,1.0,5.0
215,8767,46.0,9.613503480278425,24.0,66.0,13.50085341365462,973.9535637149028,45.40338983050848,46.0,31.0,6.4,6.0
216,8688,65.0,9.613503480278425,23.0,52.0,13.50085341365462,973.9535637149028,45.40338983050848,65.0,34.0,3.6,6.0
217,8767,68.0,9.613503480278425,24.0,76.0,13.50085341365462,973.9535637149028,45.40338983050848,68.0,28.5,4.3,6.0
218,13012,6.0,1.0,20.6,98.8,2.0,921.6,5.0,6.0,20.8,2.0,6.0
219,13250,16.0,45.0,25.3,96.5,1.0,992.9,16.0,2.6,25.9,2.0,6.0
220,11778,14.0,9.0,25.2,98.2,9.0,989.5,14.0,13.0,25.5,4.0,6.0
221,8767,38.0,9.613503480278425,23.5,57.0,13.50085341365462,973.9535637149028,45.40338983050848,38.0,33.0,5.4,6.0
222,13012,14.0,2.0,21.2,75.3,3.0,922.8,14.0,14.0,25.9,4.0,6.0
223,11778,20.0,12.0,27.6,79.4,2.0,990.8,20.0,18.0,31.6,2.0,6.0
224,8767,42.0,9.613503480278425,27.0,84.0,13.50085341365462,973.9535637149028,45.40338983050848,42.0,30.0,6.6,6.0
225,8688,38.0,9.613503480278425,27.0,74.0,13.50085341365462,973.9535637149028,45.40338983050848,38.0,32.0,1.0,6.0
226,13012,24.0,3.0,21.8,96.4,6.0,921.8,24.0,24.0,22.4,1.0,6.0
227,11778,52.0,26.0,27.2,80.3,12.0,986.5,52.0,38.0,31.0,2.0,6.0
228,1585,66.85816618911174,5.0,23.5,76.0,11.0,973.9535637149028,45.40338983050848,63.24061355311356,28.0,0.7,6.0
229,8767,42.0,9.613503480278425,27.0,94.0,13.50085341365462,973.9535637149028,45.40338983050848,42.0,28.0,2.8,6.0
230,8641,132.0,0.1,26.0,76.5,6.4,973.9535637149028,45.40338983050848,132.0,30.5,2.3,6.0
231,11778,56.0,40.0,29.0,91.7,20.0,990.4,56.0,44.0,30.5,1.0,6.0
232,8767,46.0,9.613503480278425,26.0,83.0,13.50085341365462,973.9535637149028,45.40338983050848,46.0,29.0,4.1,6.0
233,11778,25.0,11.0,23.6,96.5,13.0,992.0,25.0,18.0,24.2,2.0,6.0
234,8767,55.0,9.613503480278425,26.0,79.0,13.50085341365462,973.9535637149028,45.40338983050848,55.0,30.0,1.0,6.0
235,11778,52.0,21.0,28.5,94.9,21.0,990.3,52.0,42.0,29.4,3.0,6.0
236,8767,50.0,9.613503480278425,25.0,66.0,13.50085341365462,973.9535637149028,45.40338983050848,50.0,32.0,3.6,6.0
237,13250,66.85816618911174,36.0,25.4,64.4,1.0,990.0,45.40338983050848,63.24061355311356,33.0,3.0,6.0
238,11778,25.0,54.0,27.9,76.4,5.0,991.4,25.0,19.0,32.6,1.0,6.0
239,8767,55.0,9.613503480278425,23.0,49.0,13.50085341365462,973.9535637149028,45.40338983050848,55.0,35.0,4.3,6.0
240,11778,33.0,11.0,27.6,71.7,5.0,988.4,33.0,19.0,33.4,2.0,6.0
241,1585,66.85816618911174,3.0,22.0,46.0,5.0,973.9535637149028,45.40338983050848,63.24061355311356,35.0,4.6,6.0
242,8767,55.0,9.613503480278425,27.0,84.0,13.50085341365462,973.9535637149028,45.40338983050848,55.0,30.0,2.5,6.0
243,12976,67.0,5.0,22.0,52.0,12.0,973.9535637149028,53.0,67.0,33.0,3.0,6.0
244,13250,66.85816618911174,36.0,25.8,61.7,2.0,986.3,45.40338983050848,63.24061355311356,34.2,1.0,6.0
245,11778,35.0,13.0,26.5,84.9,9.0,987.8,35.0,24.0,29.3,2.0,6.0
246,8767,30.0,9.613503480278425,26.0,97.0,13.50085341365462,973.9535637149028,45.40338983050848,30.0,26.5,4.1,7.0
247,8688,36.0,9.613503480278425,20.0,46.0,13.50085341365462,973.9535637149028,45.40338983050848,36.0,33.0,2.0,7.0
248,8767,76.0,9.613503480278425,27.0,91.0,13.50085341365462,973.9535637149028,45.40338983050848,76.0,28.5,2.0,7.0
249,8688,63.0,9.613503480278425,26.0,70.0,13.50085341365462,973.9535637149028,45.40338983050848,63.0,32.0,2.5,7.0
250,11778,37.0,1.0,26.8,90.5,8.0,992.0,37.0,24.0,28.5,1.0,7.0
251,8767,76.0,9.613503480278425,25.0,72.0,13.50085341365462,973.9535637149028,45.40338983050848,76.0,30.5,0.7,7.0
