,Station ID,AQI,CO,Dew,Humidity,NO2,Pressure,PM10,PM2.5,Temperature,Wind,Data Time
90,13014,109.0,8.0,22.248210340256296,77.0,,,61.0,109.0,21.0,3.8,1/25/2021 18:00
91,13252,185.0,,22.248210340256296,73.4,,985.6,185.0,174.0,22.6,2.0,1/25/2021 19:00
92,8767,137.0,,22.248210340256296,62.0,,,,137.0,31.0,5.1,1/26/2021 16:00
93,8688,130.0,,22.248210340256296,53.0,,,,,25.0,4.1,1/26/2021 16:00
94,8641,134.0,0.1,22.248210340256296,53.0,10.1,,,134.0,25.0,4.1,1/26/2021 16:00
95,13012,26.0,3.0,22.248210340256296,37.6,9.0,925.4,25.0,26.0,29.0,3.0,1/26/2021 16:00
96,12488,17.0,2.0,22.248210340256296,78.0,,,21.0,17.0,24.0,3.6,1/26/2021 15:00
97,13251,126.0,12.0,22.248210340256296,57.0,23.0,,87.0,126.0,24.5,3.8,1/26/2021 15:00
98,12976,176.0,9.0,22.248210340256296,68.0,16.0,,102.0,176.0,19.0,0.5,1/23/2021 11:00
99,13250,103.0,42.0,22.248210340256296,76.7,3.0,,65.0,103.0,22.6,2.0,1/26/2021 16:00
100,5507,44.0,,22.248210340256296,85.3,5.0,,23.0,44.0,23.2,1.0,1/26/2021 15:00
101,11778,20.0,4.0,22.248210340256296,85.3,18.0,,12.0,20.0,23.2,1.0,1/26/2021 15:00
102,12958,75.0,2.0,22.248210340256296,53.0,10.0,,55.0,75.0,25.0,4.1,1/26/2021 16:00
103,12957,92.0,3.0,22.248210340256296,57.0,4.0,,59.0,92.0,24.5,3.8,1/26/2021 16:00
104,13015,117.0,15.0,22.248210340256296,57.0,27.0,,82.0,117.0,24.5,3.8,1/26/2021 15:00
105,13018,73.0,4.0,22.248210340256296,57.0,11.0,,51.0,73.0,24.5,3.8,1/26/2021 15:00
106,13019,86.0,6.0,22.248210340256296,57.0,25.0,,56.0,86.0,24.5,3.8,1/26/2021 15:00
107,13026,104.0,5.0,22.248210340256296,57.0,22.0,,64.0,104.0,24.5,3.8,1/26/2021 14:00
108,1584,,3.0,22.248210340256296,78.0,1.0,,,,24.0,4.6,1/26/2021 16:00
109,1585,,1.0,22.248210340256296,61.0,2.0,,,,27.0,8.2,1/26/2021 16:00
110,13017,113.0,8.0,22.248210340256296,57.0,14.0,,83.0,113.0,24.5,3.8,1/26/2021 15:00
111,13020,,5.0,22.248210340256296,57.0,8.0,,47.0,71.0,24.5,3.8,1/26/2021 15:00
112,13013,117.0,8.0,22.248210340256296,57.0,20.0,,69.0,117.0,24.5,3.8,1/26/2021 15:00
113,13014,79.0,6.0,22.248210340256296,57.0,,,55.0,79.0,24.5,3.8,1/26/2021 15:00
114,13252,188.0,,22.248210340256296,75.8,,987.8,186.0,188.0,19.8,2.0,1/26/2021 16:00
115,8767,117.0,,22.248210340256296,60.0,,,,117.0,30.5,4.6,1/27/2021 15:00
116,8688,97.0,,22.248210340256296,60.0,,,,,23.0,2.5,1/27/2021 15:00
117,8641,109.0,0.2,22.248210340256296,60.0,15.6,,,109.0,23.0,2.5,1/27/2021 15:00
118,13012,14.0,2.0,22.248210340256296,48.9,3.0,925.2,14.0,14.0,28.6,2.0,1/27/2021 15:00
119,12488,,1.0,22.248210340256296,78.0,,,21.0,17.0,24.0,3.6,1/27/2021 15:00
120,13251,87.0,13.0,22.248210340256296,60.0,19.0,,71.0,87.0,23.0,3.0,1/27/2021 14:00
121,12976,67.0,2.0,22.248210340256296,60.0,9.0,,53.0,67.0,23.0,2.5,1/27/2021 15:00
122,13250,63.0,41.0,22.248210340256296,84.0,1.0,,63.0,28.0,20.4,3.0,1/27/2021 15:00
123,5507,45.0,,22.248210340256296,80.0,5.0,,26.0,45.0,21.8,1.0,1/27/2021 14:00
124,11778,22.0,6.0,22.248210340256296,80.0,18.0,,13.0,22.0,21.8,1.0,1/27/2021 14:00
125,12958,142.0,5.0,22.248210340256296,60.0,34.0,,77.0,142.0,23.0,2.5,1/27/2021 15:00
126,12957,106.0,4.0,22.248210340256296,60.0,5.0,,60.0,106.0,23.0,2.5,1/27/2021 15:00
127,13015,88.0,48.0,22.248210340256296,60.0,50.0,,58.0,88.0,23.0,3.0,1/27/2021 14:00
128,13018,71.0,4.0,22.248210340256296,60.0,13.0,,47.0,71.0,23.0,3.0,1/27/2021 14:00
129,13019,63.0,5.0,22.248210340256296,60.0,21.0,,46.0,63.0,23.0,3.0,1/27/2021 14:00
130,13026,80.0,5.0,22.248210340256296,60.0,12.0,,53.0,80.0,23.0,3.0,1/27/2021 14:00
131,1584,,9.0,22.248210340256296,73.0,1.0,,,,24.0,1.5,1/27/2021 15:00
132,1585,,2.0,22.248210340256296,78.0,4.0,,,,24.0,5.6,1/27/2021 15:00
133,13017,84.0,5.0,22.248210340256296,60.0,8.0,,64.0,84.0,23.0,3.0,1/27/2021 14:00
134,13020,72.0,5.0,22.248210340256296,60.0,8.0,,47.0,72.0,23.0,3.0,1/27/2021 14:00
135,13013,82.0,9.0,22.248210340256296,60.0,19.0,,56.0,82.0,23.0,3.0,1/27/2021 14:00
136,13014,65.0,4.0,22.248210340256296,60.0,,,46.0,65.0,23.0,3.0,1/27/2021 14:00
137,13252,199.0,,22.248210340256296,67.7,,986.8,199.0,191.0,20.8,2.0,1/27/2021 15:00
138,8767,91.0,,22.248210340256296,34.0,,,,91.0,32.5,2.5,1/29/2021 14:00
139,8688,143.0,,22.248210340256296,49.0,,,,,22.0,3.0,1/29/2021 15:00
140,8641,164.0,0.2,22.248210340256296,49.0,14.2,,,164.0,22.0,3.0,1/29/2021 15:00
141,13012,30.0,2.0,22.248210340256296,54.8,5.0,928.2,22.0,30.0,23.2,5.0,1/29/2021 15:00
142,12488,35.0,2.0,22.248210340256296,69.0,,,20.0,35.0,24.0,7.2,1/29/2021 14:00
143,13251,141.0,12.0,22.248210340256296,49.0,24.0,,99.0,141.0,22.0,3.3,1/29/2021 14:00
144,12976,,5.0,22.248210340256296,49.0,19.0,,55.0,75.0,22.0,3.6,1/29/2021 14:00
145,13250,113.0,30.0,22.248210340256296,70.1,3.0,,53.0,113.0,17.5,2.0,1/29/2021 15:00
146,5507,46.0,,22.248210340256296,71.9,5.0,,31.0,46.0,19.6,1.0,1/29/2021 14:00
147,11778,16.0,6.0,22.248210340256296,71.9,22.0,,12.0,16.0,19.6,1.0,1/29/2021 13:00
148,12958,118.0,5.0,22.248210340256296,49.0,32.0,,70.0,118.0,22.0,3.6,1/29/2021 14:00
149,12957,,3.0,22.248210340256296,49.0,12.0,,74.0,119.0,22.0,3.6,1/29/2021 14:00
150,13015,145.0,38.0,22.248210340256296,49.0,54.0,,98.0,145.0,22.0,3.3,1/29/2021 14:00
151,13018,96.0,6.0,22.248210340256296,49.0,22.0,,60.0,96.0,22.0,3.3,1/29/2021 14:00
152,13019,106.0,10.0,22.248210340256296,49.0,30.0,,64.0,106.0,22.0,3.3,1/29/2021 14:00
153,13026,134.0,6.0,22.248210340256296,49.0,18.0,,74.0,134.0,22.0,3.3,1/29/2021 14:00
154,1584,,6.0,22.248210340256296,63.0,1.0,,,,25.0,5.1,1/29/2021 14:00
155,1585,,4.0,22.248210340256296,57.0,5.0,,,,27.0,9.7,1/29/2021 14:00
156,13017,139.0,10.0,22.248210340256296,49.0,15.0,,97.0,139.0,22.0,3.3,1/29/2021 14:00
157,13020,94.0,10.0,22.248210340256296,49.0,16.0,,61.0,94.0,22.0,3.3,1/29/2021 14:00
158,13013,138.0,18.0,22.248210340256296,49.0,28.0,,96.0,138.0,22.0,3.3,1/29/2021 14:00
159,13014,99.0,10.0,22.248210340256296,49.0,,,65.0,99.0,22.0,3.3,1/29/2021 14:00
160,13252,139.0,,22.248210340256296,56.9,,992.6,126.0,139.0,17.0,3.0,1/29/2021 15:00
161,8767,87.0,,22.248210340256296,65.0,,,,87.0,26.0,2.0,1/30/2021 21:00
162,8688,180.0,,22.248210340256296,77.0,,,,,18.0,1.5,1/30/2021 22:00
163,8641,215.0,0.2,22.248210340256296,77.0,13.3,,,215.0,18.0,1.5,1/30/2021 21:00
164,13012,32.0,2.0,22.248210340256296,76.2,3.0,927.4,22.0,32.0,19.2,4.0,1/30/2021 22:00
165,12488,21.0,1.0,22.248210340256296,88.0,,,20.0,21.0,22.0,2.3,1/30/2021 22:00
166,13251,183.0,13.0,22.248210340256296,82.0,29.0,,160.0,183.0,18.0,2.0,1/30/2021 19:00
167,12976,137.0,7.0,22.248210340256296,77.0,19.0,,71.0,137.0,18.0,1.5,1/30/2021 22:00
168,13250,175.0,38.0,22.248210340256296,90.3,7.0,,69.0,175.0,16.3,150.0,1/30/2021 22:00
169,5507,54.0,,22.248210340256296,91.5,5.0,,28.0,54.0,17.4,1.0,1/30/2021 21:00
170,11778,12.0,5.0,22.248210340256296,91.5,12.0,,8.0,12.0,7.0,1.0,1/30/2021 21:00
171,12958,182.0,6.0,22.248210340256296,77.0,27.0,,99.0,182.0,18.0,1.5,1/30/2021 22:00
172,12957,,3.0,22.248210340256296,77.0,21.0,,74.0,119.0,18.0,2.0,1/30/2021 22:00
173,13015,192.0,34.0,22.248210340256296,82.0,48.0,,147.0,192.0,18.0,2.0,1/30/2021 20:00
174,13018,161.0,13.0,22.248210340256296,82.0,34.0,,102.0,161.0,18.0,2.0,1/30/2021 20:00
175,13019,178.0,17.0,22.248210340256296,82.0,49.0,,118.0,178.0,18.0,2.0,1/30/2021 20:00
176,13026,186.0,17.0,22.248210340256296,82.0,31.0,,128.0,186.0,18.0,2.0,1/30/2021 20:00
177,1584,,13.0,22.248210340256296,88.0,1.0,,,,21.0,0.5,1/30/2021 21:00
178,1585,,2.0,22.248210340256296,73.0,2.0,,,,24.0,4.1,1/30/2021 22:00
179,13017,189.0,15.0,22.248210340256296,82.0,35.0,,158.0,189.0,18.0,2.0,1/30/2021 20:00
180,13020,156.0,15.0,22.248210340256296,82.0,35.0,,104.0,156.0,18.0,2.0,1/30/2021 20:00
181,13013,191.0,20.0,22.248210340256296,82.0,45.0,,161.0,191.0,18.0,2.0,1/30/2021 20:00
182,13014,176.0,16.0,22.248210340256296,82.0,,,112.0,176.0,18.0,2.0,1/30/2021 20:00
183,13252,189.0,,22.248210340256296,84.0,,990.5,168.0,189.0,16.0,1.0,1/30/2021 22:00
184,8767,59.0,,22.248210340256296,80.5,,,,59.0,25.5,1.2,1/31/2021 23:00
186,8641,,0.1,22.248210340256296,90.5,9.2,,,117.0,19.0,2.5,1/31/2021 22:00
187,13012,20.0,1.0,22.248210340256296,81.5,3.0,928.7,17.0,20.0,17.1,2.0,1/31/2021 23:00
188,12488,,1.0,22.248210340256296,78.0,,,27.0,19.0,22.0,2.8,1/31/2021 23:00
189,13251,180.0,17.0,22.248210340256296,90.5,23.0,,131.0,180.0,19.0,2.5,1/31/2021 21:00
190,12976,,3.0,22.248210340256296,88.0,14.0,,39.0,60.0,19.0,2.5,1/31/2021 23:00
191,13250,135.0,30.0,22.248210340256296,94.5,3.0,,65.0,135.0,17.3,22.0,1/31/2021 23:00
192,5507,33.0,,22.248210340256296,92.7,5.0,,17.0,33.0,18.4,1.0,1/31/2021 23:00
193,11778,10.0,5.0,22.248210340256296,92.7,43.0,,7.0,10.0,14.0,1.0,1/31/2021 22:00
194,12958,97.0,3.0,22.248210340256296,88.0,30.0,,60.0,97.0,19.0,2.5,1/31/2021 22:00
195,12957,,2.0,22.248210340256296,88.0,14.0,,74.0,119.0,19.0,2.5,1/31/2021 23:00
196,13015,175.0,41.0,22.248210340256296,90.5,40.0,,121.0,175.0,19.0,2.5,1/31/2021 21:00
197,13018,140.0,5.0,22.248210340256296,90.5,19.0,,71.0,140.0,19.0,2.5,1/31/2021 21:00
198,13019,140.0,9.0,22.248210340256296,90.5,24.0,,82.0,140.0,19.0,2.5,1/31/2021 21:00
199,13026,184.0,8.0,22.248210340256296,93.0,21.0,,111.0,184.0,19.0,2.3,1/31/2021 20:00
200,1584,,7.0,22.248210340256296,88.0,1.0,,,,21.0,0.2,1/31/2021 23:00
201,1585,,3.0,22.248210340256296,78.0,11.0,,,,23.0,3.6,1/31/2021 23:00
202,13017,179.0,14.0,22.248210340256296,90.5,23.0,,132.0,179.0,19.0,2.5,1/31/2021 21:00
203,13020,159.0,7.0,22.248210340256296,90.5,12.0,,88.0,159.0,19.0,2.5,1/31/2021 21:00
204,13013,183.0,19.0,22.248210340256296,90.5,28.0,,132.0,183.0,19.0,2.5,1/31/2021 21:00
205,13014,150.0,7.0,22.248210340256296,90.5,,,78.0,150.0,19.0,2.5,1/31/2021 21:00
206,13252,177.0,,22.248210340256296,97.5,,990.9,117.0,177.0,16.3,1.0,1/31/2021 23:00
207,8767,59.0,,22.248210340256296,69.0,,,,59.0,25.0,1.0,2/3/2021 0:00
208,8688,167.0,,22.248210340256296,16.0,,,,,20.0,2.3,2/3/2021 0:00
209,8641,161.0,0.1,22.248210340256296,77.0,12.8,,,161.0,20.0,2.3,2/3/2021 0:00
210,13012,24.0,1.0,22.248210340256296,75.0,2.0,928.7,16.0,24.0,17.8,1.0,2/3/2021 0:00
211,12488,54.0,1.0,22.248210340256296,88.0,,,42.0,54.0,21.0,1.0,2/3/2021 0:00
212,13251,111.0,18.0,22.248210340256296,75.0,28.0,,78.0,111.0,20.5,2.5,2/2/2021 21:00
213,12976,,2.0,22.248210340256296,82.0,15.0,,28.0,34.0,20.0,3.0,2/2/2021 10:00
214,13250,155.0,28.0,22.248210340256296,91.1,4.0,,68.0,155.0,19.7,19.0,2/3/2021 0:00
215,5507,43.0,,22.248210340256296,97.5,,,22.0,43.0,17.4,2.0,2/2/2021 23:00
216,11778,5.0,5.0,22.248210340256296,97.5,9.0,,3.0,5.0,4.0,2.0,2/2/2021 23:00
217,12958,115.0,3.0,22.248210340256296,82.0,27.0,,68.0,115.0,20.0,3.0,2/2/2021 10:00
218,12957,,3.0,22.248210340256296,75.0,7.0,,74.0,119.0,21.0,3.3,2/2/2021 11:00
219,13015,144.0,40.0,22.248210340256296,77.0,38.0,,98.0,144.0,20.0,2.5,2/2/2021 21:00
220,13018,97.0,6.0,22.248210340256296,75.0,16.0,,56.0,97.0,20.5,2.5,2/2/2021 21:00
221,13019,95.0,10.0,22.248210340256296,75.0,36.0,,59.0,95.0,20.5,2.5,2/2/2021 21:00
222,13026,113.0,4.0,22.248210340256296,75.0,18.0,,70.0,113.0,20.5,2.5,2/2/2021 21:00
223,1584,,3.0,22.248210340256296,85.5,1.0,,,,22.0,0.7,2/2/2021 23:00
224,1585,,2.0,22.248210340256296,69.0,7.0,,,,24.0,4.6,2/3/2021 0:00
225,13017,119.0,17.0,22.248210340256296,77.0,23.0,,81.0,119.0,20.0,2.5,2/2/2021 21:00
226,13020,98.0,7.0,22.248210340256296,77.0,12.0,,57.0,98.0,20.0,2.5,2/2/2021 21:00
227,13013,131.0,21.0,22.248210340256296,75.0,26.0,,94.0,131.0,20.5,2.5,2/2/2021 21:00
228,13014,105.0,7.0,22.248210340256296,75.0,,,61.0,105.0,20.5,2.5,2/2/2021 21:00
229,13252,83.0,,22.248210340256296,67.0,,988.3,83.0,53.0,22.0,3.0,2/2/2021 17:00
230,8767,76.0,,22.248210340256296,73.0,,,,76.0,26.0,1.8,2/3/2021 21:00
231,8688,103.0,,22.248210340256296,17.0,,,,,20.0,3.6,2/3/2021 21:00
232,8641,93.0,0.1,22.248210340256296,82.0,11.5,,,93.0,20.0,3.0,2/3/2021 21:00
233,13012,37.0,2.0,22.248210340256296,60.7,5.0,927.6,28.0,37.0,19.6,2.0,2/3/2021 21:00
234,12488,32.0,2.0,22.248210340256296,88.0,,,32.0,30.0,22.0,2.5,2/3/2021 21:00
235,13251,108.0,13.0,22.248210340256296,77.0,22.0,,67.0,108.0,21.0,4.6,2/3/2021 20:00
236,12976,40.0,1.0,22.248210340256296,82.0,6.0,,31.0,40.0,20.0,3.6,2/3/2021 21:00
237,13250,183.0,31.0,22.248210340256296,82.5,6.0,,90.0,183.0,21.0,54.0,2/3/2021 21:00
238,5507,45.0,,22.248210340256296,92.2,,,23.0,45.0,19.0,2.0,2/3/2021 21:00
239,11778,5.0,6.0,22.248210340256296,92.2,10.0,,3.0,5.0,5.0,2.0,2/3/2021 20:00
240,12958,86.0,2.0,22.248210340256296,88.0,9.0,,53.0,86.0,18.0,2.0,2/3/2021 7:00
241,12957,,3.0,22.248210340256296,82.0,4.0,,74.0,119.0,20.0,3.6,2/3/2021 21:00
242,13015,102.0,38.0,22.248210340256296,77.0,35.0,,76.0,102.0,21.0,4.6,2/3/2021 20:00
243,13018,82.0,4.0,22.248210340256296,77.0,9.0,,52.0,82.0,21.0,4.6,2/3/2021 20:00
244,13019,83.0,6.0,22.248210340256296,77.0,27.0,,56.0,83.0,21.0,4.6,2/3/2021 20:00
245,13026,103.0,2.0,22.248210340256296,77.0,14.0,,60.0,103.0,21.0,4.6,2/3/2021 20:00
246,1584,,13.0,22.248210340256296,83.0,1.0,,,,22.0,1.0,2/3/2021 21:00
247,1585,,1.0,22.248210340256296,69.0,2.0,,,,24.0,6.1,2/3/2021 21:00
248,13017,98.0,14.0,22.248210340256296,77.0,25.0,,74.0,98.0,21.0,4.6,2/3/2021 20:00
249,13020,75.0,5.0,22.248210340256296,77.0,7.0,,56.0,75.0,21.0,4.6,2/3/2021 20:00
250,13013,102.0,20.0,22.248210340256296,77.0,27.0,,76.0,102.0,21.0,4.6,2/3/2021 20:00
251,13014,74.0,5.0,22.248210340256296,77.0,,,53.0,74.0,21.0,4.6,2/3/2021 20:00
252,13252,83.0,,22.248210340256296,67.0,,988.3,83.0,53.0,22.0,3.0,2/2/2021 17:00
253,8767,137.0,,22.248210340256296,52.0,,,,137.0,31.0,3.0,2/5/2021 14:00
